code,name,share,bonus_share,conver_share,cash,report_date,reg_date,execute_date,end_date
000514,渝开发,0.0,0.0,0.0,0.5,20070728,20071112,20071113,20070630
600285,羚锐制药,10.0,0.0,10.0,1.0,20070829,20071105,20071106,20070630
600426,华鲁恒升,5.0,0.0,5.0,0.0,20070818,20071102,20071105,20070630
002007,华兰生物,2.0,0.0,2.0,2.0,20070804,20071023,20071024,20070630
601600,中国铝业,0.0,0.0,0.0,1.37,20070821,20071023,20071024,20070630
600246,万通地产,5.0,0.0,5.0,0.0,20070810,20071022,20071023,20070630
600614,鹏起科技,7.0,0.0,7.0,0.0,20070811,20071018,20071019,20070630
600382,广东明珠,10.0,0.0,10.0,0.0,20070823,20071018,20071019,20070630
000608,阳光股份,3.0,3.0,0.0,0.5,20070822,20071012,20071015,20070630
600392,盛和资源,4.5,2.5,2.0,0.3,20070829,20071011,20071012,20070630
600975,新五丰,8.0,0.0,8.0,0.0,20070830,20071010,20071011,20070630
000712,锦龙股份,10.0,0.0,10.0,0.0,20070821,20070928,20071008,20070630
600290,华仪电气,4.0,0.0,4.0,0.0,20070821,20070928,20071008,20070630
600158,中体产业,6.0,0.0,6.0,0.0,20070831,20070928,20071008,20070630
600978,宜华生活,4.5,0.0,4.5,0.0,20070821,20070926,20070927,20070630
600110,诺德股份,3.0,2.0,1.0,0.0,20070828,20070926,20070927,20070630
002003,伟星股份,3.0,0.0,3.0,0.0,20070825,20070924,20070925,20070630
600089,特变电工,10.0,0.0,10.0,0.0,20070821,20070920,20070921,20070630
600678,四川金顶,5.0,3.0,2.0,0.333,20070822,20070920,20070921,20070630
600301,*ST南化,0.0,0.0,0.0,2.0,20070821,20070919,20070920,20070630
600028,中国石化,0.0,0.0,0.0,0.5,20070827,20070918,20070919,20070630
002028,思源电气,5.0,0.0,5.0,3.0,20070815,20070917,20070918,20070630
600249,两面针,10.0,0.0,10.0,0.0,20070815,20070917,20070918,20070630
002031,巨轮智能,3.0,0.0,3.0,0.0,20070808,20070917,20070918,20070630
600594,益佰制药,5.0,0.0,5.0,0.0,20070816,20070914,20070917,20070630
600311,荣华实业,10.0,0.0,10.0,0.0,20070807,20070913,20070914,20070630
600396,金山股份,3.0,0.0,3.0,0.0,20070815,20070912,20070913,20070630
002138,顺络电子,0.0,0.0,0.0,3.0,20070810,20070910,20070911,20070630
600467,好当家,6.0,3.0,3.0,0.35,20070809,20070910,20070911,20070630
600595,中孚实业,10.0,0.0,10.0,0.0,20070809,20070910,20070911,20070630
600888,新疆众和,8.0,6.0,2.0,0.67,20070731,20070907,20070910,20070630
600804,鹏博士,10.0,0.0,10.0,0.0,20070810,20070905,20070906,20070630
000572,海马汽车,6.0,0.0,6.0,0.0,20070721,20070831,20070903,20070630
601318,中国平安,0.0,0.0,0.0,2.0,20070817,20070831,20070903,20070630
002014,永新股份,2.0,0.0,2.0,0.0,20070808,20070829,20070830,20070630
002121,科陆电子,10.0,0.0,10.0,0.0,20070730,20070828,20070829,20070630
002019,亿帆医药,10.0,0.0,10.0,0.0,20070731,20070827,20070828,20070630
600750,江中药业,3.5,0.0,3.5,0.0,20070721,20070824,20070827,20070630
001696,宗申动力,10.0,10.0,0.0,1.2,20070801,20070824,20070827,20070630
600481,双良节能,10.0,0.0,10.0,0.0,20070727,20070824,20070827,20070630
600298,安琪酵母,10.0,0.0,10.0,0.0,20070718,20070822,20070823,20070630
002097,山河智能,10.0,2.0,8.0,0.3,20070726,20070821,20070822,20070630
600711,盛屯矿业,1.7,0.0,1.7,0.0,20070718,20070820,20070821,20070630
600109,国金证券,10.0,0.0,10.0,0.0,20070724,20070820,20070821,20070630
002093,国脉科技,10.0,0.0,10.0,0.0,20070712,20070808,20070809,20070630
